ID,建議之標題,建議資料集名稱,建議開放的欄位,建議原因,派發機關,回復狀態,分派狀態,回復時間,回應
59034,請提供全國固定其他設施資料集,全國固定其他設施,縣市名稱、鄉鎮市名稱、設施編號、設施地理位置(geo)、座標(xy),導入全國固定箱類設施，提供用查詢定位及圖層製作。,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,"[<p>臺端您好：<br/>
有關臺端建議增加提供「全國固定其他設施」，將上架至政府資料開放平臺，敬請上網閱覽。花蓮縣政府 敬復。</p>]","[<p>您好:有關您詢問固定箱相關開放資料，目前本府已開放臺北市工務統計資料，開放項目包含:臺北市道路、橋梁涵管、防洪排水、公園綠地、路燈、污水下水道、山坡地安全治理、綜合項目等資訊，您可至下面網址進行查詢:https://data.taipei/dataset/detail/metadata?id=b60ae44f-2c0e-4b9f-b76c-914db5213c78<br/>
謝謝您的建議</p>]","[<p>臺端您好:</p>, <p>有關臺端建議提供「全國固定其他設施資料集」，目前本府暫無建置相關資訊，<br/>
造成不便之處，尚祈見諒，最後感謝您對本縣建設的關心，您的來信是我們進步的動力，敬祝順頌如意。</p>, <p>雲林縣政府 敬復</p>]","[<p>您好!有關臺端建議提供「全國固定其他設施資料集」，目前本府暫無建置相關資訊，造成不便之處，尚祈見諒，最後感謝您對本縣建設的關心，您的來信是我們進步的動力，敬祝順頌如意。<br/>
臺東縣政府 敬復</p>]","[<p>您好!有關臺端建議提供「全國固定其他設施資料集」，目前本府暫無建置相關資訊，造成不便之處，尚祈見諒，最後感謝您對本市建設的關心，您的來信是我們進步的動力，敬祝順頌如意。<br/>
基隆市政府 敬復</p>]","[<p>你好，本府工務單位尚無建置相關資料，敬請見諒。<br/>
嘉義市政府敬啟</p>]","[<p>臺端建議「提供全國固定其他設施資料集」案，本縣並無固定其他設施資料建置，爰無相關資料可提供。<br/>
感謝您的來信指教，您如果對於答覆內容需要進一步了解，我們非常樂意向您詳細說明，請您電洽04-7532136，誠摯歡迎您的來電。台端關心縣政，謹致謝忱。</p>]",[<p>臺端建議提供「全國固定其他設施」資料集，因本府未有相關資料建置，無相關資料可提供。祝您平安喜樂 澎湖縣政府敬上。</p>],[<p>台端建議提供資料，本市資料開放平台(http://data.taichung.gov.tw/wSite/lp?ctNode=229&amp;mp=1&amp;idPath=&amp;xq_xCat=005&amp;mp=1&amp;idPath=)已公開資料，內容已包含「人行道設施/固定其他設施」相關資料集。感謝您的來信指教，特申謝忱。  敬復</p>],"[<p>您好</p>, <p>臺端建議提供「全國人行道設施/固定其他設施/固定箱類設施缺失」相關資料集，本府工務處回復如下：</p>, <p>有關「全國人行道設施/固定其他設施/固定箱類設施缺失」相關資料取得，目前可至內政部營建署市區道路人行安全地理資訊系統(http://sidewalk.cpami.gov.tw/sidewalk/MainPage.aspx)查詢。另針對設施物詳細座標位置，本處刻在辦理本縣圖資建繪中，俟建置完成後，將參考其他縣市政府辦理後續相關事宜。</p>, <p>宜蘭縣政府敬復</p>]","[<p>您好，本府資料開放平台已公開本市公共管線資料(http://data.tainan.gov.tw/dataset/pubpipe),內容已包含全部固定設施。謝謝您的建議，台南市政府敬復</p>]",[<p>關於您建議—【 請提供全國固定其他設施資料集 】的建議開放資料集，已請主管機關【 臺南市政府、臺東縣政府、嘉義市政府、基隆市政府、屏東縣政府、花蓮縣政府、澎湖縣政府、苗栗縣政府、雲林縣政府、桃園市政府、彰化縣政府、宜蘭縣政府、臺中市政府、臺北市政府 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>],[<p>關於您建議—【 請提供全國固定其他設施資料集 】的建議開放資料集，已請主管機關【 內政部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
59033,請提供全國食品業者食材登錄資訊,全國食品業者食材登錄資訊,食材種類、食材來源、份數代換、各類營養素含量及標示,資料若開放則可有效協助國人營養狀況評估，並協助其他健康促進策略推廣。,衛生福利部,已回復,已分派,"星期三, 十一月 29, 2017 - 14:38","[<p>您好，<br/>
本署建置「台灣地區食品營養成分資料庫」，目前上線資料涵蓋94種營養素，共計2,076筆，網址http://www.fda.gov.tw/TC/siteList.aspx?sid=284，即「食品營養成分資料集」。另「食品追溯追蹤系統消費者查詢資料集」亦提供業者自主上傳產品的包裝標示。<br/>
請參考使用。</p>, <p>衛生福利部食品藥物管理署 敬復</p>]",[<p>關於您建議—【 請提供全國食品業者食材登錄資訊 】的建議開放資料集，已請主管機關【 衛生福利部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
59032,請提供全國圖書館館藏書目流通記錄及圖書館座標圖資,全國圖書館館藏書目流通記錄及圖書館座標圖資,圖書館名稱、縣市區鄉鎮、書名、作者、ISBN、ISSN、分類號、出版年、書目流通時間、圖書館位置座標、圖書館地址,圖書館及書目流通地圖與Open Data 結合的相關應用App開發,教育部,已回復,已分派,"星期一, 十一月 6, 2017 - 09:58","[<p>黃小姐/先生 您好！<br/>
您於106年11月2日致政府資料開放平臺信箱之電子郵件，我們已經收悉。<br/>
有關您建議開放全國圖書館館藏書目流通記錄及圖書館座標圖資資料集乙事，經詢目前僅開放全國圖書館館藏書目供民眾查詢，針對全國圖書館館藏書目流通記錄，因尚無系統整合該圖書館館藏書目流通記錄，故無法提供開放。另有關圖書館座標圖資資料集部分，於國立公共資訊圖書館首頁公共圖書館家族之圖書館檢索輸入欲查詢之公共圖書館舘所，網址如下：http://www.nlpi.edu.tw/LibMap.aspx<br/>
即可查得圖書館座標、詳細地址、聯絡電話及圖書館簡介、開放時間等資訊，感謝您的建言。<br/>
敬祝<br/>
平安如意！</p>, <p>                                     教育部敬復</p>]",[<p>關於您建議—【 請提供全國圖書館館藏書目流通記錄及圖書館座標圖資 】的建議開放資料集，已請主管機關【 教育部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
59031,請提供中小學校務評鑑資料,中小學校務評鑑資料,年度、隸屬、校名、校長領導、行政管理、課程教學、學務輔導、環境設備、社群互動、實習輔導、績效表現,現已開放高級中學學校評鑑成績資料，但還未看到中小學相關資訊。,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,"[<p>您好:有關您詢問開放中小學校務評鑑資料，本府自102學年度起均有公告各學年度各學層校務評鑑結果資料，106學年度國中小校務評鑑作業業辦理完畢，評鑑結果預計於今（107）年10月31日公告，您可至下面網址網址查詢近年各校評鑑結果：https://www.doe.gov.taipei/News.aspx?n=3651CB3E413DA867&amp;sms=69B4E6B26379EE4E。<br/>
謝謝您的建議</p>]","[<p>臺端您好：</p>, <p>臺端建議提供「中小學校務評鑑資料」資料集，因本府未有相關資料建置，無相關資料可提供。<br/>
祝您平安喜樂</p>, <p>雲林縣政府 敬復</p>]","[<p>臺端您好：<br/>
有關臺端建議增加提供「中小學校務評鑑資料」，因本縣辦理業務為校長辦學績效評鑑，其相關資料僅提供給受評人及校長遴選委員會參考，非公開資料。<br/>
花蓮縣政府 敬復。</p>]","[<p>臺端建議提供「中小學校務評鑑資料」資料集，因本府未有相關資料建置，無相關資料可提供。<br/>
祝您平安喜樂 臺東縣政府敬上。</p>]","[<p>非常不好意思，因為業務調整，以及市府新開放平臺開發，以致現在才回您。<br/>
感謝您的來信，<br/>
經詢問市府教育局業務單位表示，目前已經無中小學校務評鑑資料，只有高級中學學校評鑑成績資料才有，爰此，本府並無相關資料可提供。<br/>
臺中市政府謹啟</p>]","[<p>您好</p>, <p>臺端建議提供「中小學校務評鑑資料」資料集乙案，本府教育處回復如下：</p>, <p>一、旨揭中小學校務評鑑，鑒於各項政策均訂有督導考評規範，為避免各項評鑑訪視疊床架屋，徒增學校行政負擔，本縣已自99年後即停辦所屬各國中小一般性校務評鑑。<br/>
二、本縣現僅依宜蘭縣委託私人辦理學校評鑑獎勵及輔導辦法、學校型態實驗教育評鑑辦法、宜蘭縣立高級中等學校評鑑辦法等法規，辦理相關評鑑。<br/>
三、本縣今年已辦理縣立人文國民中小學、縣立慈心華德福教育實驗高級中等學校等2校。相關評鑑成績，業已公告於本府教育處網頁（http://www.ilc.edu.tw/），檢索方式：本府教育處網頁→公告搜尋→進階查詢→檢索字詞：「105學年度學校評鑑結果」，可逕前往本府教育處網頁公告欄檢索相關公告資料。</p>, <p>宜蘭縣政府敬復</p>]","[<p>有關臺端建議「請提供中小學校務評鑑資料」乙事，因國中小校務評鑑係屬地方政府之職責，本府教育處基於行政減量，且每年均有辦理相關訪視與績效評鑑，為避免過多同性質之評鑑，造成學校端及教師的行政負擔過重，間接影響教學品質，故本市中小學校務評鑑暫時停止辦理，無相關資料。<br/>
敬祝 順祺。<br/>
基隆市政府 敬復</p>]","[<p>有關臺端建議提供「中小學校務評鑑資料」資料集案，本府基於行政減量，為避免過多之評鑑造成學校行政業務及教師之負擔，影響教學品質，爰本市自104學年度起停辦國中小校務評鑑，感謝台端關心本市教育事務，本府特申謝忱。<br/>
桃園市政府  啟</p>]","[<p>有關臺端建議提供「中小學校務評鑑資料」資料集案，本府基於行政減量，為避免過多之評鑑造成學校行政業務及教師之負擔，影響教學品質，爰本市無辦理國中小校務評鑑，感謝台端關心本市教育事務，本府特申謝忱。</p>, <p>嘉義市政府　啟</p>]",[<p>臺端建議提供「中小學校務評鑑」資料集，因本府於102年已停止辦理該項評鑑，故無法提供相關資料。祝您平安喜樂 澎湖縣政府敬上。</p>],"[<p>台端您好，有關台端詢問本縣國中小校務評鑑資料，回復如下:<br/>
配合教育部行政減量政策，年底前完成訪視評鑑簡化，為落實行政減量，本縣以督學至各校查訪方式取代評鑑作業。<br/>
感謝台端關心本縣教育事務，本府特申謝忱。</p>]",[<p>您好，有關國中小校務評鑑係屬地方政府之權責，本市教育局基於行政減量，並考量每年均有辦理校長辦學績效評鑑，為避免過多同性質之評鑑，造成學校行政業務及教師之負擔，影響教學品質，爰本市國中小校務評鑑暫停止辦理，故無相關資料，謝謝您的建議。台南市政府敬覆</p>],[<p>關於您建議—【 請提供中小學校務評鑑資料 】的建議開放資料集，已請主管機關【 內政部、臺南市政府、臺東縣政府、嘉義市政府、基隆市政府、屏東縣政府、花蓮縣政府、澎湖縣政府、苗栗縣政府、雲林縣政府、桃園市政府、彰化縣政府、宜蘭縣政府、臺中市政府、臺北市政府 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>],[<p>關於您建議—【 請提供中小學校務評鑑資料 】的建議開放資料集，已請主管機關【 教育部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
59013,"RE: 請提供台北市已立案的演藝團體的""立案日期""",台北市演藝團體列表,團體名稱、聯絡人姓名、立案日期、表演類別、團隊類別等5欄,"49478	請提供台北市已立案的演藝團體的""立案日期"" => 說已在文化局網站，但我找不到耶…

舉例：
https://www.culture.gov.taipei/frontsite/artorganization/groupFrontListAction.do?method=doRead&iscancel=true&groupId=3598
請問那個欄位是立案日期??",臺北市政府,已回復,已分派,"星期一, 十月 22, 2018 - 13:52","[<p>您好:有關您詢問開放立案日期資料，早期演藝團體主管機關為本府教育局，本府文化局於民國88年成立，民國93年頒行「臺北市演藝團體輔導及管理規則」後接受演藝團體於本局重新登記，許多演藝團體創團早於93年，未免混淆故目前未公開。文化局擬確認系統技術問題後公開演藝團體於文化局登記之日期。<br/>
另演藝團體名稱、登記類別、聯絡人姓名、電話、團址等資訊，待確認資訊嫁接技術問題後擬公開於資訊平台，目前建議至文化局官網演藝團體專區查詢使用。""<br/>
謝謝您的建議</p>]","[<p>關於您建議—【 RE: 請提供台北市已立案的演藝團體的""立案日期"" 】的建議開放資料集，已請主管機關【 臺北市政府 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]"
58915,希望提供中華民國海關每旬匯率資料,海關三旬匯率,"匯率類別(I買入/O買出/H最高), 開始日期,結束日期, 幣別, 匯率,備註","海關匯率應提供電子化方式以利民眾使用, 建議提供 XML, JSON格式以利資料交換.",財政部,已回復,已分派,"星期三, 十一月 8, 2017 - 14:41",[<p>關於您建議提供海關每旬匯率資料，本部關務署已以JSON格式提供是項資料，資料集名稱為「每旬報關匯率」(https://data.gov.tw/dataset/6708)，若您對該資料集尚有其他意見，可逕於該資料集反應。感謝您提供意見，祝健康如意。     財政部敬復</p>],[<p>關於您建議—【 希望提供中華民國海關每旬匯率資料 】的建議開放資料集，已請主管機關【 財政部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
58647,內政部不動產資訊平台,住宅資訊動態看板,目前住宅資訊動態看板內住宅買賣移轉筆數，分全國、新北市、台北市、桃園市、台中市、台南市、高雄市。建議開放到行政區與里別(例如:北市中山區松江里)。,能讓民眾能更了解不動產行情，更有利掌握行情及不動產資訊。,內政部,已回復,已分派,"星期一, 十一月 6, 2017 - 14:17","[<p>您好<br/>
住宅買賣移轉筆數統計單位最小為鄉鎮市區，<br/>
您可至內政部不動產資訊平台首頁-住宅統計-統計資訊整合查詢-<br/>
統計範圍選擇""鄉鎮市區統計資訊""，即可查詢。<br/>
若您仍有其他問題，歡迎撥打諮詢專線:02-55740089。謝謝。<br/>
內政部營建署謹復</p>]",[<p>關於您建議—【 內政部不動產資訊平台 】的建議開放資料集，已請主管機關【 內政部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
58601,建議分析台中市台灣大道主要路口每分鐘車流量狀況.,台灣大道主要路口每分鐘車流量狀況,"時間,編號, 路口名稱,上下行,通過流量,車道,平均車速","可以分析交通擁塞狀況, 道路使用狀況, 每日擁塞時間, 每日,週,月 交通狀況..提供用路民眾更有感的交通改善或劣化狀況..
也可以作為捷運及優化公車道效益的評估.",臺中市政府,已回復,已分派,"星期一, 四月 23, 2018 - 17:09","[<p>您好，非常不好意思，因為職務調整與新舊平臺轉換，現在才回您，敬祈見諒。<br/>
有關您來信建議「台灣大道主要路口每分鐘車流量狀況」一事回覆如下：<br/>
臺中市政府開放資料平臺(http://data.taichung.gov.tw/，有提供「臺中市車輛偵測器設備位置」開放資料供使用，目前針對車輛偵測器所提供的車流量為5分鐘資料，歡迎您多加利用。<br/>
祝 順心<br/>
臺中市政府敬復</p>]",[<p>關於您建議—【 建議分析台中市台灣大道主要路口每分鐘車流量狀況. 】的建議開放資料集，已請主管機關【 臺中市政府 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
58246,台北市公有路邊停車位即時資訊,台北市公有路邊停車位即時資訊,停車位基本資訊 : 停車路段 停車位編號 收費方式 位置 (經緯度 或其他方式表示 ) 停車位使用即時資訊 : 各停車位 時間 / 使用與否 (即時資訊）,"近期有app 業者公告將提供台北市，路邊停車格即時資訊，請同步開放供其他系統可即時查詢，因路邊停車格屬公共財，請同步提供相關即時停車。

http://www.space4car.com/index.php/honor/",臺北市政府,已回復,已分派,"星期三, 九月 26, 2018 - 18:29","[<p>您好:有關公有路邊停車車位資訊開放內容，您可至下面網址進行查詢<br/>
【臺北市路邊停車格位】，網址:<br/>
https://data.taipei/dataset/detail/metadata?id=5a911ea5-1694-4301-808e-e1780d971611<br/>
謝謝您的建議</p>]",[<p>關於您建議—【 台北市公有路邊停車位即時資訊 】的建議開放資料集，已請主管機關【 臺北市政府 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
58060,請開放衛生福利部社會及家庭署托育人員資訊API,衛生福利部社會及家庭署托育人員資訊,"保母姓名：	oo女士
登記證編號： 
技術證號： 
保母編號：	 
性別： 
連絡電話：	 
托育服務地址： 
出生年：	 
教育程度： 

托育服務類型：	 
托育時段：	 
已收托幼兒數：	 

上課年度	
登錄總時數

社區保母系統：名稱
社區保母系統電話：	 
社區保母系統地址：","衛生福利部社會及家庭署托育人員資訊已於網上可查詢得知
為便於民眾透過手機等裝置更便利地尋得合適托育人員
請政府提供利於開發者取得資料之介面
以成就更高效率的資訊平台

參考頁面：
https://cwisweb.sfaa.gov.tw/04nanny/03view.jsp?OWASP_CSRFTOKEN=NJR6-PDXD-BDBO-W5H6-CTS9-OPHR-H9LZ-N0T2&sn=MDDMaZzgW5maKNAoTX_Xil4mGsOrOmfQ",衛生福利部,已回復,已分派,"星期五, 十一月 3, 2017 - 14:30","[<p>揚翔您好<br/>
關於您反應—請開放衛生福利部社會及家庭署托育人員資訊API，主管機關衛生福利部社會及家庭署回復內容如下：</p>, <p>本署為利廣大民眾知悉相關托育資訊，協助有需求家長順利就近媒合居家保母或托嬰中心，爰建置「托育人員登記管理資訊系統」。倘您如有需求，請逕於網站查詢，所提建議歉難辦理。</p>, <p>衛生福利部社會及家庭署 敬復</p>]",[<p>關於您建議—【 請開放衛生福利部社會及家庭署托育人員資訊API 】的建議開放資料集，已請主管機關【 衛生福利部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
58006,有辦理出進口廠商登記資料集,全國出進口廠商登記資料集,"一、中英文名稱。
二、中英文營業地址。
三、代表人或負責人姓名。
四、電話及傳真號碼。
五、出進口資格。
出進口廠商得將下列事項，自行登錄於前項貿易局之資訊網站：
一、網址。
二、電子郵件地址。
三、出進口產品項目。
四、其他有助於商業貿易活動事項。

( 公開之依據：出進口廠商登記辦法第7條)","公司行號日常要與合法登記之貿易商交易，目前雖可透過經濟部國際貿易局出進口廠商管理系統之廠商基本資料查詢服務查詢交易對象(貿易商)有無辦理出進口廠商登記，但逐筆上網查證相當耗費人力及時間。
若經濟部國際貿可提供 全國出進口廠商登記資料集，即可進一步整合財政部已開放之 全國營業(稅籍)登記資料集， 進行資料勾稽，除便於企業即時控管交易之合法性，並可避免與不合法商家交易。",經濟部,已回復,已分派,"星期二, 十月 31, 2017 - 19:08","[<p>您好：<br/>
　　有關您106年11月1日於「政府資料開放平臺」再次提出「出進口廠商登記資料集」之建議，本局謹說明如下：<br/>
為便利人民共享及公平利用政府資訊，本局將於107年4月前完成出進口廠商登記資料登載於政府資料開放平臺作業，查上揭開放平臺之出進口廠商登記資料將包含出進口廠商之「統一編號」、「原始登記日期」、「核發日期」及「現況」資料，並由系統設定每日更新資料，屆時您可至該平臺下載運用。<br/>
敬祝　商祺<br/>
經濟部國際貿易局 敬復<br/>
連絡人：吳奉珍<br/>
電話：23977359<br/>
106年11月7日</p>]","[<p>有關您於106年10月26日建議「出進口廠商登記資料集」我想要更多一案，本局說明如下：<br/>
一、為促進商業、推廣貿易活動及維護交易安全之需要，本局依據「出進口廠商登記辦法」第7條之1規定，將出進口廠商登記基本資料(包括廠商中英文名稱、中英文營業地址、代表人/負責人姓名、電話及傳真、出進口資格等資料)，公開於本局經貿資訊網(https://fbfh.trade.gov.tw/rich/text/indexfbOL.asp/廠商資料查詢)，以供大眾查詢即時資料。<br/>
二、為利民眾共享及公平使用政府資訊，本局將於107年4月前將出進口廠商登記資料登載於政府資料開放平臺，開放資料欄位包括:<br/>
(一)中英文名稱、(二)中英文營業地址、(三)代表人或負責人姓名、(四)電話及傳真號碼、(五)出進口資格。<br/>
三、至於您建議開放出進口廠商自行登錄於本局網站之(一)網址、(二)電子郵件地址、(三)出進口產品項目、(四)其他有助於商業貿易活動事項等資料，因非屬本局出進口廠商登記資料，爰無法提供，造成您的不便，敬請見諒。</p>]",[<p>感謝經濟部願意釋出 出進口廠商登記資料集，但為能進一步與財政部已開放之 全國營業(稅籍)登記資料集整合應用，廠商之統一編號及現況為必需之篩選因子。故建議經濟部釋出之出進口廠商登記資料集的資料欄位可增加廠商之統一編號、原始登記日期、核發日期及現況等資訊；另外也比照全國營業(稅籍)登記資料集將出進口廠商登記資料集更新頻率設定為每日更新。  謝謝!!</p>],[<p>關於您建議—【 有辦理出進口廠商登記資料集 】的建議開放資料集，已請主管機關【 經濟部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
57899,財政部稅籍資料-全國各級學校(含公立與私立),全國各級學校基本資料(含公立與私立),"1.統一編號
2.單位名稱
3.地址
4.電話
5.學校分類(國小、國中、高中、大專校等)",目前開放的稅籍資料，缺少各級學校的資料,財政部,已回復,已分派,"星期二, 十月 31, 2017 - 11:35",[<p>關於您建議開放「全國各級學校基本資料(含公立與私立)」資料集，本部刻正研議中，俟研議結果儘速回復，感謝您提供意見。　　財政部敬復</p>],[<p>謝謝協助納入開放資料議程中</p>],[<p>關於您建議—【 財政部稅籍資料-全國各級學校(含公立與私立) 】的建議開放資料集，已請主管機關【 財政部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>],[<p>關於您建議—【 財政部稅籍資料-全國各級學校(含公立與私立) 】的建議開放資料集，已請主管機關【 教育部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
57813,請問是否有 天氣預報每小時（至少六小時）的預報資料,天氣預報每小時（至少六小時）的預報資料：氣溫、濕度（或降雨機率）、風向、風速＄,"六小時，每小時的天氣預報 - 氣溫
六小時，每小時的天氣預報 - 濕度（降雨機率）
六小時，每小時的天氣預報 - 風向
六小時，每小時的天氣預報 - 風速","平常手機ＡＰＰ都可以看未來六小時內，每一小時的天氣預測狀況（應該是滿普遍的資訊）
但目前中央氣象局開放資料中，尚無找到每一小時的天氣預測資料",交通部,已回復,已分派,"星期四, 十二月 7, 2017 - 18:28","[<p>您好，<br/>
本部氣象局預報技術發展至今，對於每小時預報仍有些天氣因素較難掌握，因此尚無發布每小時預報，也避免發布後誤導大眾。惟於官網上及開放資料平臺已呈現並開放逐3小時~逐12小時(依天氣因子的不同)的預報資料，如各鄉鎮未來2天及未來1週之「鄉鎮天氣預報」、「一般天氣預報-今明36小時天氣預報」、「一般天氣預報-七天天氣預報」及「一般天氣預報-一週縣市天氣預報」供大眾使用。<br/>
您可至政府資料開放平臺搜尋如上述之資料關鍵字查找資料使用，或是至本部氣象局氣象資料開放平臺(http://opendata.cwb.gov.tw)瀏覽更多開放之氣象資料，也歡迎您多加利用。<br/>
交通部(中央氣象局) 敬復</p>]",[<p>關於您建議—【 請問是否有 天氣預報每小時（至少六小時）的預報資料 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
57789,環保署補助各縣市廚餘堆肥場設置和維護成本,環保署補助各縣市廚餘堆肥場設置和維護成本,"1. 縣市
2. 鄉鎮市區
3. 佔地面積
4. 設計日處理量
5. 設置成本
6. 每年維護成本","您好：
       目前台灣的一般垃圾中，仍有不少比例是廚餘，這些廚餘是可以拿去堆肥再回歸到農地。但各縣市因堆肥場容量有限或不願意投入堆肥成本，在回收廚餘時常常將「堆肥廚餘」(相對於養豬廚餘而言)當作一般垃圾，甚是可惜。不知道環保署能不能公開過去補助的堆肥場其設置和維護成本，讓大家檢視投入推肥工作需要多少成本，感謝！

陳先生",行政院環境保護署,已回復,已分派,"星期三, 十一月 15, 2017 - 18:35","[<p>有關您提及開放環保署補助各縣市廚餘堆肥場設置和維護成本，本署已於環境資源資料開放平臺「生活環境與其他」分類中，建置「補助地方設置廚餘堆肥廠一覽表」，該表包括縣市、鄉鎮區、操作運轉日期及日處理量等欄位。表中多數堆肥廠係本署初期為推動廚餘回收再利用工作，補助地方政府所設置之簡易設施，常於偏遠地區以既有衛生掩埋場或資源回收場之部分場地，搭建小規模簡易設施及購置簡易堆肥設備，即進行傳統式（自然醱酵）堆肥工作，並未規劃構建較具規模之堆肥廠房；其中部分廚餘堆肥廠設置時間久遠已老舊，正逐漸汰舊更新中，且各廠基本條件及設置、操作成本等資料差異性大。綜上，為避免爾後民眾引用資料時產生疑義，甚而衍生誤解，所建議新增占地面積、設置成本及每年維護成本等3項資訊，不再新增開放。<br/>
謝謝您的寶貴建議，行政院環境保護署敬上</p>]",[<p>關於您建議—【 環保署補助各縣市廚餘堆肥場設置和維護成本 】的建議開放資料集，已請主管機關【 行政院環境保護署 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
57711,蔬果資訊,蔬果資訊,"1.每一季所熱賣的蔬菜水果
2.每一個蔬菜水果所含的維他命
3.哪裡可以買到有機蔬果(地址)
4.生什麼病應該吃什麼蔬菜水果",目前並未公開上列資料。近年來越來越多人重視身體健康，所以我想做一個App，讓大家可以利用這個App吃到新鮮又健康的蔬果，所以需要上述資料的幫助達成。,衛生福利部,已回復,已分派,"星期五, 十一月 10, 2017 - 19:13","[<p>您好，<br/>
有關「4.生什麼病應該吃什麼蔬菜水果」問題，主管機關衛生福利部國民健康署相關業務單位回復內容如下：<br/>
『<br/>
健康5蔬果-天天攝取適當蔬果的份量，可促進身體健康及預防慢性疾病，而非生了病才補充蔬菜水果，因蔬果攝取不足也是罹患慢性疾病的重要原因，養成「3蔬2果」的健康飲食型態，每天攝取3份蔬菜（1份蔬菜煮熟後約半碗），2份水果（1份水果約1個拳頭大小），將可獲得植化素、維生素、礦物質、膳食纖維等營養素，如下：</p>, <p>1.蔬菜中含有豐富的維生素及礦物質，蔬菜的顏色越深綠或深黃，含有的維生素 A、C 及礦物質鐵、鈣也越多，若要補充鈣質及鐵質，建議攝取紅莧菜、芥藍菜及莧菜等深色蔬菜。<br/>
2.蔬菜中的膳食纖維可增加飽足感、幫助排便，維持腸道的健康，腸道是我們身體與吃入食物直接接觸並發生交互作用的器官。腸道健康，身體才能順利消化吸收食物，規則排便，並且對伺機入侵的病菌具有抵抗力。<br/>
3.蔬菜亦含有許多已知對健康有益的植化素，例如花青素、含硫化合物、胡蘿蔔素、茄紅素、類黃酮、多醣體等，具有抗發炎、抗癌、抗老化等活性，各種蔬果其所含之植化素種類亦不相同。<br/>
4.水果主要提供維生素，尤其是維生素 C。提供的礦物質較少，只有桃、李、葡萄、桑葚、草莓、黑棗、葡萄乾、黑棗乾含有較多的鐵質；橙、草莓中含有適量鈣質。<br/>
5.水果外皮含有豐富的膳食纖維，所以口感比較粗糙。由於膳食纖維具有預防便秘、腸癌、腦血管疾病等功能，所以可以連皮吃的水果，如蘋果、水梨、蕃茄、桃子、李子等水果時，應盡量洗乾淨連果皮一起吃。<br/>
6.食品若宣稱其具有特定療效，需遵守食品標示宣傳或廣告詞句涉及誇張易生誤解或醫療效能之認定基準規定。<br/>
』<br/>
衛生福利部國民健康署  敬復</p>]",[<p>關於您建議—【 蔬果資訊 】的建議開放資料集，已請主管機關【 行政院農業委員會、衛生福利部 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
